t_array,u_dot_array,u_array,y_array
28.509000000000775,102.91869799130063,4.190930801777388,111.0
28.519000000000776,89.61048340361555,5.159362043156641,112.0
28.529000000000778,73.71491716774021,5.999274313520022,109.0
28.54100000000078,53.532260222996065,6.774739493279526,102.0
28.55100000000078,31.72283283293849,7.199634913437189,94.0
28.56200000000078,9.381390041084813,7.426101168770679,81.0
28.57200000000078,-9.921975153748484,7.423017339347793,67.0
28.582000000000782,-29.312189337637196,7.226893435505986,51.0
28.592000000000784,-49.231962245196804,6.834646103183602,35.0
28.602000000000785,-67.81642645437175,6.250309285342689,17.0
28.613000000000785,-86.44483578765097,5.467304068342951,-2.0
28.623000000000786,-101.066463519996,4.524249585934157,-21.0
28.633000000000788,-111.97605799599859,3.439678558627103,-39.0
28.64300000000079,-119.97335496100989,2.282082332411303,-56.0
28.65300000000079,-125.44942487643527,1.057274316218374,-72.0
28.66400000000079,-126.79257135697155,-0.33121040641835797,-87.0
28.67400000000079,-123.14184801530206,-1.578364365222258,-97.0
28.684000000000793,-117.60605161299496,-2.828032663171823,-106.0
28.696000000000794,-107.14726340376987,-4.124001163471728,-111.0
28.706000000000795,-91.51247701936157,-5.1149189097116095,-113.0
28.716000000000797,-76.27261950030264,-5.951766279475668,-111.0
28.7260000000008,-60.18372894040766,-6.632260433272465,-106.0
28.7360000000008,-40.34690254545775,-7.164813179006103,-97.0
28.7480000000008,-17.054129177496012,-7.504979160516975,-85.0
28.758000000000802,4.140060633363838,-7.5689848818650844,-72.0
28.770000000000802,26.417636034182795,-7.396233544774912,-55.0
28.780000000000804,46.214473417745694,-7.0334833581208605,-38.0
28.791000000000803,66.3687697431598,-6.4182337059439085,-18.0
28.801000000000805,83.49917932125334,-5.611587837418858,1.0
28.812000000000804,98.70039582091563,-4.672531401846308,20.0
28.822000000000806,109.33624840791474,-3.6137208675518053,38.0
28.832000000000807,118.3769681740724,-2.477254492022335,55.0
28.84200000000081,123.84309457451431,-1.268430690044636,70.0
28.85200000000081,126.63891886953523,0.05062328934855,84.0
28.86300000000081,125.63530965618662,1.3583457809923147,96.0
28.87300000000081,117.85570529648042,2.5732384390397995,105.0
28.883000000000813,110.58558139195918,3.7130132549592574,110.0
28.894000000000812,98.23879095752453,4.824267087551535,113.0
28.904000000000813,80.8146599596752,5.747647335124218,112.0
28.915000000000813,63.12056735013152,6.517164957890427,107.0
28.925000000000814,42.89572135895373,7.0456772413692095,100.0
28.935000000000816,22.31615360488899,7.375775861548594,90.0
28.945000000000817,-0.28135128675671134,7.492981418035293,76.0
28.956000000000817,-19.802598544989404,7.3918710813988096,61.0
28.967000000000816,-44.05901863756641,7.038909803328079,42.0
28.978000000000815,-65.13826143811261,6.438843686965948,22.0
28.988000000000817,-81.47267566239843,5.684977806689154,3.0
28.99800000000082,-96.93017254648126,4.794531224236563,-16.0
29.00800000000082,-109.52827473604503,3.764105095657151,-34.0
29.01900000000082,-120.29611401273144,2.535013864456538,-53.0
29.02900000000082,-125.04852467015458,1.281907826923974,-69.0
29.039000000000822,-127.50358169603744,-0.021657582769795094,-84.0
29.049000000000824,-125.7739368689134,-1.2969409652140313,-95.0
29.060000000000823,-120.0845926375288,-2.653554973101388,-105.0
29.070000000000825,-108.85933884576983,-3.7979329029315236,-111.0
29.080000000000826,-97.27211673021193,-4.82624513493962,-113.0
29.090000000000828,-82.41803721996777,-5.722511313578318,-112.0
29.101000000000827,-64.95738243380623,-6.528729973323201,-108.0
29.11100000000083,-44.88412641773441,-7.076329828883592,-101.0
29.12300000000083,-22.30267832346139,-7.453776299749201,-89.0
29.13300000000083,2.087910141597819,-7.562046684851199,-75.0
29.143000000000832,22.702255294698553,-7.437963552818944,-60.0
29.156000000000834,48.3952854553251,-6.998050071601915,-39.0
29.166000000000835,66.05263670292533,-6.426698205197514,-21.0
29.176000000000837,84.64268355154837,-5.628319685088348,-1.0
29.187000000000836,101.30059813396588,-4.628011695344944,20.0
29.198000000000835,113.37897472997928,-3.485888823255779,39.0
29.208000000000837,121.1678498502399,-2.3153324626901206,56.0
29.21800000000084,127.24048538092066,-1.0756159892848072,72.0
29.22800000000084,129.94068505967005,0.20783310232615376,86.0
29.23800000000084,127.91018826500807,1.5307094319226322,98.0
29.248000000000843,121.89824043396906,2.777166194201248,107.0
29.258000000000845,112.7669281704338,3.9742732702859946,113.0
29.270000000000845,98.20603953646565,5.1984311468938715,115.0
29.281000000000844,78.15152743335253,6.145080014775158,114.0
29.291000000000846,58.35508176958113,6.863046637920551,109.0
29.303000000000846,36.08270555824203,7.414866166336377,98.0
29.313000000000848,14.961184487180393,7.671401252403725,87.0
29.324000000000847,-7.123508831842633,7.713626746579401,72.0
29.33400000000085,-27.33340992188284,7.5413236779226915,56.0
29.34600000000085,-50.28540792812792,7.09658574576849,36.0
29.35600000000085,-69.08448172821718,6.500665875676062,18.0
29.366000000000852,-88.42424942772203,5.656315121419584,-3.0
29.37700000000085,-104.41241760365473,4.659843658675637,-22.0
29.387000000000853,-115.54589224359826,3.5620622628799903,-41.0
29.399000000000854,-127.06712324738712,2.1198344699441214,-62.0
29.409000000000855,-128.32094065640118,0.8453507471289539,-77.0
29.419000000000857,-129.53366915389654,-0.4414334432687826,-90.0
29.431000000000857,-127.33164483077255,-1.9894253582304136,-103.0
29.44100000000086,-116.66493938915988,-3.20676152016084,-111.0
29.45100000000086,-106.04256043445376,-4.349472553531976,-115.0
29.461000000000862,-94.49711505864704,-5.360942601025002,-116.0
29.471000000000863,-78.93423375420667,-6.239472079797767,-113.0
29.483000000000864,-58.78758067079994,-7.032441655718325,-107.0
29.494000000000863,-34.6546952175149,-7.534517341374655,-98.0
29.504000000000865,-11.369247764483806,-7.778925412954255,-86.0
29.516000000000865,11.656638065136718,-7.776731669526522,-69.0
29.526000000000867,32.84997917535028,-7.554278366327354,-53.0
29.53600000000087,52.8883397077903,-7.116683970613313,-35.0
29.54800000000087,77.46500859766634,-6.301766349348277,-11.0
29.56000000000087,95.61397957267589,-5.249926845589534,12.0
29.57100000000087,107.45101409001201,-4.205355072143743,31.0
29.58100000000087,117.41705402781477,-3.0830805656384013,49.0
29.59100000000087,125.20540717123662,-1.872220150281755,65.0
29.601000000000873,130.7715324744598,-0.5947362336349796,80.0
29.611000000000875,130.29346127857957,0.7080395521160072,93.0
29.621000000000876,126.43441980520613,1.9890890442317546,103.0
29.631000000000878,119.27783944625959,3.215068926208877,111.0
29.64100000000088,107.5231829605044,4.346535512617408,115.0
29.65100000000088,93.22645049651116,5.386390623640619,116.0
29.66300000000088,73.58805413809425,6.383040230265192,113.0
29.673000000000883,51.88440949765896,7.023996225380157,107.0
29.684000000000882,33.15843864513054,7.453141457915084,97.0
